Date,Negative_Count,Neutral_Count,Positive_Count,Total_Count
2024-04-23,0,1,0,0
2024-04-24,-2,2,0,-2
2024-04-25,-2,0,0,-2
2024-04-29,-3,3,1,-2
2024-04-30,0,4,0,0
2024-05-01,-3,3,0,-3
2024-05-02,-2,2,0,-2
2024-05-03,0,1,0,0
2024-05-04,0,1,0,0
2024-05-06,0,2,0,0
2024-05-07,-3,1,3,0
2024-05-08,-1,3,1,0
2024-05-09,-1,1,0,-1
2024-05-11,-1,0,0,-1
2024-05-13,0,3,0,0
2024-05-14,0,1,2,2
2024-05-15,0,4,2,2
2024-05-16,0,1,0,0
2024-05-17,0,3,1,1
2024-05-20,-2,5,1,-1
2024-05-21,-2,0,1,-1
2024-05-22,0,2,2,2
2024-05-23,-5,3,0,-5
2024-05-24,-4,2,0,-4
